Date,ORCL,TSLA,IBM,AAPL,MSFT
2021-01-04,63.75,729.77001953125,118.48948669433594,129.41000366210938,217.69000244140625
2021-01-05,62.959999084472656,735.1099853515625,120.59273529052734,131.00999450683594,217.89999389648438
2021-01-06,62.56999969482422,755.97998046875,123.60420989990234,126.5999984741211,212.25
2021-01-07,63.06999969482422,816.0399780273438,123.31739807128906,130.9199981689453,218.2899932861328
2021-01-08,63.380001068115234,880.02001953125,122.87763214111328,132.0500030517578,219.6199951171875
2021-01-11,63.029998779296875,811.1900024414062,122.92543029785156,128.97999572753906,217.49000549316406
2021-01-12,62.41999816894531,849.4400024414062,123.52772521972656,128.8000030517578,214.92999267578125
2021-01-13,62.060001373291016,854.4099731445312,121.33843231201172,130.88999938964844,216.33999633789062
2021-01-14,61.599998474121094,845.0,123.29827880859375,128.91000366210938,213.02000427246094
2021-01-15,61.779998779296875,826.1599731445312,122.74378967285156,127.13999938964844,212.64999389648438
2021-01-19,61.290000915527344,844.5499877929688,123.34607696533203,127.83000183105469,216.44000244140625
2021-01-20,61.560001373291016,850.4500122070312,124.35946655273438,132.02999877929688,224.33999633789062
2021-01-21,61.209999084472656,844.989990234375,125.86042022705078,136.8699951171875,224.97000122070312
2021-01-22,60.36000061035156,846.6400146484375,113.39388275146484,139.07000732421875,225.9499969482422
2021-01-25,60.900001525878906,880.7999877929688,113.36520385742188,142.9199981689453,229.52999877929688
2021-01-26,61.79999923706055,883.0900268554688,117.1032485961914,143.16000366210938,232.3300018310547
2021-01-27,62.54999923706055,864.1599731445312,117.0841293334961,142.05999755859375,232.89999389648438
2021-01-28,61.220001220703125,835.4299926757812,114.79923248291016,137.08999633789062,238.92999267578125
2021-01-29,60.43000030517578,793.530029296875,113.87189483642578,131.9600067138672,231.9600067138672
2021-02-01,61.5099983215332,839.8099975585938,115.23900604248047,134.13999938964844,239.64999389648438
2021-02-02,62.369998931884766,872.7899780273438,114.1873779296875,134.99000549316406,239.50999450683594
2021-02-03,62.16999816894531,854.6900024414062,113.88145446777344,133.94000244140625,243.0
2021-02-04,63.349998474121094,849.989990234375,115.6978988647461,137.38999938964844,242.00999450683594
2021-02-05,63.599998474121094,852.22998046875,116.43403625488281,136.75999450683594,242.1999969482422
2021-02-08,63.11000061035156,863.4199829101562,118.17399597167969,136.91000366210938,242.47000122070312
2021-02-09,63.66999816894531,849.4600219726562,116.73040008544922,136.00999450683594,243.77000427246094
2021-02-10,63.27000045776367,804.8200073242188,116.86424255371094,135.38999938964844,242.82000732421875
2021-02-11,62.70000076293945,811.6599731445312,115.59273529052734,135.1300048828125,244.49000549316406
2021-02-12,63.08000183105469,816.1199951171875,115.4875717163086,135.3699951171875,244.99000549316406
2021-02-16,62.13999938964844,796.219970703125,114.7896728515625,133.19000244140625,243.6999969482422
2021-02-17,62.09000015258789,798.1500244140625,114.69407653808594,130.83999633789062,244.1999969482422
2021-02-18,62.06999969482422,787.3800048828125,115.42064666748047,129.7100067138672,243.7899932861328
2021-02-19,61.130001068115234,781.2999877929688,113.75717163085938,129.8699951171875,240.97000122070312
2021-02-22,64.44999694824219,714.5,115.54492950439453,126.0,234.50999450683594
2021-02-23,64.5,698.8400268554688,115.40152740478516,125.86000061035156,233.27000427246094
2021-02-24,64.69999694824219,742.02001953125,117.79158782958984,125.3499984741211,234.5500030517578
2021-02-25,65.30000305175781,682.219970703125,117.0841293334961,120.98999786376953,228.99000549316406
2021-02-26,64.51000213623047,675.5,113.6998062133789,121.26000213623047,232.3800048828125
2021-03-01,66.16999816894531,718.4299926757812,115.43020629882812,127.79000091552734,236.94000244140625
2021-03-02,66.66000366210938,686.4400024414062,115.03823852539062,125.12000274658203,233.8699951171875
2021-03-03,66.91000366210938,653.2000122070312,116.97896575927734,122.05999755859375,227.55999755859375
2021-03-04,65.61000061035156,621.4400024414062,114.82791900634766,120.12999725341797,226.72999572753906
2021-03-05,69.97000122070312,597.9500122070312,117.42829895019531,121.41999816894531,231.60000610351562
2021-03-08,72.16000366210938,563.0,119.32122039794922,116.36000061035156,227.38999938964844
2021-03-09,72.63999938964844,673.5800170898438,118.71892547607422,121.08999633789062,233.77999877929688
2021-03-10,72.12000274658203,668.0599975585938,122.24665069580078,119.9800033569336,232.4199981689453
2021-03-11,67.41000366210938,699.5999755859375,121.54875946044922,121.95999908447266,237.1300048828125
2021-03-12,67.16000366210938,693.72998046875,121.99808502197266,121.02999877929688,235.75
2021-03-15,67.7300033569336,707.9400024414062,122.92543029785156,123.98999786376953,234.80999755859375
2021-03-16,66.8499984741211,676.8800048828125,122.60037994384766,125.56999969482422,237.7100067138672
2021-03-17,66.22000122070312,701.8099975585938,123.35564422607422,124.76000213623047,237.0399932861328
2021-03-18,66.73999786376953,653.1599731445312,124.34034729003906,120.52999877929688,230.72000122070312
2021-03-19,66.26000213623047,654.8699951171875,123.23136138916016,119.98999786376953,230.35000610351562
2021-03-22,66.31999969482422,670.0,124.80879211425781,123.38999938964844,235.99000549316406
2021-03-23,67.2699966430664,662.1599731445312,124.7227554321289,122.54000091552734,237.5800018310547
2021-03-24,66.83000183105469,630.27001953125,124.87571716308594,120.08999633789062,235.4600067138672
2021-03-25,68.62999725341797,640.3900146484375,127.21797180175781,120.58999633789062,232.33999633789062
2021-03-26,70.25,618.7100219726562,130.38241577148438,121.20999908447266,236.47999572753906
2021-03-29,71.12999725341797,611.2899780273438,129.88528442382812,121.38999938964844,235.24000549316406
2021-03-30,70.55000305175781,635.6199951171875,128.79541015625,119.9000015258789,231.85000610351562
2021-03-31,70.16999816894531,667.9299926757812,127.39962005615234,122.1500015258789,235.77000427246094
2021-04-01,71.80999755859375,661.75,127.37093353271484,123.0,242.35000610351562
2021-04-05,74.16000366210938,691.0499877929688,129.9521942138672,125.9000015258789,249.07000732421875
2021-04-06,74.27999877929688,691.6199951171875,128.31739807128906,126.20999908447266,247.86000061035156
2021-04-07,74.06999969482422,670.969970703125,128.9961700439453,127.9000015258789,249.89999389648438
2021-04-08,75.27999877929688,683.7999877929688,129.17782592773438,130.36000061035156,253.25
2021-04-09,75.58000183105469,677.02001953125,129.76100158691406,133.0,255.85000610351562
2021-04-12,76.12000274658203,701.97998046875,128.67112731933594,131.24000549316406,255.91000366210938
2021-04-13,76.66999816894531,762.3200073242188,125.41108703613281,134.42999267578125,258.489990234375
2021-04-14,76.81999969482422,732.22998046875,126.79732513427734,132.02999877929688,255.58999633789062
2021-04-15,78.29000091552734,738.8499755859375,126.74951934814453,134.5,259.5
2021-04-16,78.94999694824219,739.780029296875,127.71510314941406,134.16000366210938,260.739990234375
2021-04-19,78.75,714.6300048828125,127.26577758789062,134.83999633789062,258.739990234375
2021-04-20,79.23999786376953,718.989990234375,132.08413696289062,133.11000061035156,258.260009765625
2021-04-21,76.66000366210938,744.1199951171875,137.23709106445312,133.5,260.5799865722656
2021-04-22,74.87000274658203,719.6900024414062,135.06692504882812,131.94000244140625,257.1700134277344
2021-04-23,74.97000122070312,729.4000244140625,136.16635131835938,134.32000732421875,261.1499938964844
2021-04-26,74.5,738.2000122070312,135.3441619873047,134.72000122070312,261.54998779296875
2021-04-27,75.22000122070312,704.739990234375,135.7648162841797,134.38999938964844,261.9700012207031
2021-04-28,74.7699966430664,694.4000244140625,136.71128845214844,133.5800018310547,254.55999755859375
2021-04-29,75.87000274658203,677.0,137.89674377441406,133.47999572753906,252.50999450683594
2021-04-30,75.79000091552734,709.4400024414062,135.64053344726562,131.4600067138672,252.17999267578125
2021-05-03,77.33000183105469,684.9000244140625,138.3843231201172,132.5399932861328,251.86000061035156
2021-05-04,78.52999877929688,673.5999755859375,139.34034729003906,127.8499984741211,247.7899932861328
2021-05-05,79.19000244140625,670.9400024414062,138.83364868164062,128.10000610351562,246.47000122070312
2021-05-06,79.73999786376953,663.5399780273438,141.89292907714844,129.74000549316406,249.72999572753906
2021-05-07,80.4000015258789,672.3699951171875,139.06309509277344,130.2100067138672,252.4600067138672
2021-05-10,80.1500015258789,629.0399780273438,139.7418670654297,126.8499984741211,247.17999267578125
2021-05-11,77.69000244140625,617.2000122070312,137.87762451171875,125.91000366210938,246.22999572753906
2021-05-12,76.75,589.8900146484375,135.08604431152344,122.7699966430664,239.0
2021-05-13,78.13999938964844,571.6900024414062,137.829833984375,124.97000122070312,243.02999877929688
2021-05-14,78.88999938964844,589.739990234375,138.31739807128906,127.44999694824219,248.14999389648438
2021-05-17,79.08000183105469,576.8300170898438,138.72848510742188,126.2699966430664,245.17999267578125
2021-05-18,78.69000244140625,577.8699951171875,137.58126831054688,124.8499984741211,243.0800018310547
2021-05-19,78.73999786376953,563.4600219726562,136.89292907714844,124.69000244140625,243.1199951171875
2021-05-20,78.72000122070312,586.780029296875,137.55258178710938,127.30999755859375,246.47999572753906
2021-05-21,79.02999877929688,580.8800048828125,138.374755859375,125.43000030517578,245.1699981689453
2021-05-24,79.37999725341797,606.4400024414062,138.3556365966797,127.0999984741211,250.77999877929688
2021-05-25,78.83000183105469,604.6900024414062,137.46653747558594,126.9000015258789,251.72000122070312
2021-05-26,79.26000213623047,619.1300048828125,137.07456970214844,126.8499984741211,251.49000549316406
2021-05-27,78.9800033569336,630.8499755859375,137.49522399902344,125.27999877929688,249.30999755859375
2021-05-28,78.73999786376953,625.219970703125,137.41873168945312,124.61000061035156,249.67999267578125
2021-06-01,79.56999969482422,623.9000244140625,137.8489532470703,124.27999877929688,247.39999389648438
2021-06-02,80.2699966430664,605.1199951171875,139.31166076660156,125.05999755859375,247.3000030517578
2021-06-03,81.08999633789062,572.8400268554688,139.14913940429688,123.54000091552734,245.7100067138672
2021-06-04,82.88999938964844,599.0499877929688,140.93690490722656,125.88999938964844,250.7899932861328
2021-06-07,83.94000244140625,605.1300048828125,141.51051330566406,125.9000015258789,253.80999755859375
2021-06-08,84.61000061035156,603.5900268554688,142.51434326171875,126.73999786376953,252.57000732421875
2021-06-09,84.5199966430664,598.780029296875,144.04397583007812,127.12999725341797,253.58999633789062
2021-06-10,82.30000305175781,610.1199951171875,143.91969299316406,126.11000061035156,257.239990234375
2021-06-11,82.9000015258789,609.8900146484375,144.6271514892578,127.3499984741211,257.8900146484375
2021-06-14,82.62000274658203,617.6900024414062,143.43212890625,130.47999572753906,259.8900146484375
2021-06-15,81.63999938964844,599.3599853515625,142.7915802001953,129.63999938964844,258.3599853515625
2021-06-16,77.08000183105469,604.8699951171875,141.32887268066406,130.14999389648438,257.3800048828125
2021-06-17,77.55999755859375,616.5999755859375,139.1969451904297,131.7899932861328,260.8999938964844
2021-06-18,76.2300033569336,623.3099975585938,136.8260040283203,130.4600067138672,259.42999267578125
2021-06-21,77.98999786376953,620.8300170898438,140.2007598876953,132.3000030517578,262.6300048828125
2021-06-22,78.68000030517578,623.7100219726562,139.92352294921875,133.97999572753906,265.510009765625
2021-06-23,78.0999984741211,656.5700073242188,138.25047302246094,133.6999969482422,265.2699890136719
2021-06-24,77.73999786376953,679.8200073242188,139.04397583007812,133.41000366210938,266.69000244140625
2021-06-25,78.45999908447266,671.8699951171875,140.38241577148438,133.11000061035156,265.0199890136719
2021-06-28,78.5,688.719970703125,138.90057373046875,134.77999877929688,268.7200012207031
2021-06-29,78.0999984741211,680.760009765625,139.14913940429688,136.3300018310547,271.3999938964844
2021-06-30,77.83999633789062,679.7000122070312,140.14340209960938,136.9600067138672,270.8999938964844
2021-07-01,79.54000091552734,677.9199829101562,140.38241577148438,137.27000427246094,271.6000061035156
2021-07-02,81.81999969482422,678.9000244140625,133.86233520507812,139.9600067138672,277.6499938964844
2021-07-06,83.08000183105469,659.5800170898438,132.67686462402344,142.02000427246094,277.6600036621094
2021-07-07,86.08999633789062,644.6500244140625,133.67112731933594,144.57000732421875,279.92999267578125
2021-07-08,85.58999633789062,652.8099975585938,134.55067443847656,143.24000549316406,277.4200134277344
2021-07-09,87.76000213623047,656.9500122070312,135.29637145996094,145.11000061035156,277.94000244140625
2021-07-12,87.08000183105469,685.7000122070312,134.72274780273438,144.5,277.32000732421875
2021-07-13,87.06999969482422,668.5399780273438,134.11090087890625,145.63999938964844,280.9800109863281
2021-07-14,88.27999877929688,653.3800048828125,133.67112731933594,149.14999389648438,282.510009765625
2021-07-15,86.23999786376953,650.5999755859375,134.27342224121094,148.47999572753906,281.0299987792969
2021-07-16,87.48999786376953,644.219970703125,132.7915802001953,146.38999938964844,280.75
2021-07-19,86.9800033569336,646.219970703125,131.8546905517578,142.4499969482422,277.010009765625
2021-07-20,88.66000366210938,660.5,133.8145294189453,146.14999389648438,279.32000732421875
2021-07-21,89.69000244140625,655.2899780273438,135.08604431152344,145.39999389648438,281.3999938964844
2021-07-22,90.69000244140625,649.260009765625,134.52198791503906,146.8000030517578,286.1400146484375
2021-07-23,87.69000244140625,643.3800048828125,135.12428283691406,148.55999755859375,289.6700134277344
2021-07-26,87.86000061035156,657.6199951171875,136.49139404296875,148.99000549316406,289.04998779296875
2021-07-27,87.80000305175781,644.780029296875,136.47227478027344,146.77000427246094,286.5400085449219
2021-07-28,87.18000030517578,646.97998046875,135.53536987304688,144.97999572753906,286.2200012207031
2021-07-29,87.62999725341797,677.3499755859375,135.68833923339844,145.63999938964844,286.5
2021-07-30,87.13999938964844,687.2000122070312,134.76100158691406,145.86000061035156,284.9100036621094
2021-08-02,87.5999984741211,709.6699829101562,135.2007598876953,145.52000427246094,284.82000732421875
2021-08-03,89.73999786376953,709.739990234375,137.73422241210938,147.36000061035156,287.1199951171875
2021-08-04,90.05000305175781,710.9199829101562,136.48184204101562,146.9499969482422,286.510009765625
2021-08-05,89.43000030517578,714.6300048828125,136.49139404296875,147.05999755859375,289.5199890136719
2021-08-06,89.5199966430664,699.0999755859375,137.7533416748047,146.13999938964844,289.4599914550781
2021-08-09,89.9000015258789,713.760009765625,135.03823852539062,146.08999633789062,288.3299865722656
2021-08-10,89.63999938964844,709.989990234375,135.1625213623047,145.60000610351562,286.44000244140625
2021-08-11,89.62999725341797,707.8200073242188,135.87954711914062,145.86000061035156,286.95001220703125
2021-08-12,89.80999755859375,722.25,136.7781982421875,148.88999938964844,289.80999755859375
2021-08-13,90.37999725341797,717.1699829101562,136.88336181640625,149.10000610351562,292.8500061035156
2021-08-16,90.81999969482422,686.1699829101562,137.27532958984375,151.1199951171875,294.6000061035156
2021-08-17,90.94999694824219,665.7100219726562,136.1567840576172,150.19000244140625,293.0799865722656
2021-08-18,88.94000244140625,688.989990234375,133.33651733398438,146.36000061035156,290.7300109863281
2021-08-19,88.70999908447266,673.469970703125,131.95028686523438,146.6999969482422,296.7699890136719
2021-08-20,88.94000244140625,680.260009765625,132.9923553466797,148.19000244140625,304.3599853515625
2021-08-23,89.12000274658203,706.2999877929688,133.47991943359375,149.7100067138672,304.6499938964844
2021-08-24,88.55000305175781,708.489990234375,133.69024658203125,149.6199951171875,302.6199951171875
2021-08-25,88.62000274658203,711.2000122070312,133.70936584472656,148.36000061035156,302.010009765625
2021-08-26,88.72000122070312,701.1599731445312,132.67686462402344,147.5399932861328,299.0899963378906
2021-08-27,89.3499984741211,711.9199829101562,133.27915954589844,148.60000610351562,299.7200012207031
2021-08-30,89.44999694824219,730.9099731445312,132.85850524902344,153.1199951171875,303.5899963378906
2021-08-31,89.12999725341797,735.719970703125,134.1682586669922,151.8300018310547,301.8800048828125
2021-09-01,89.94999694824219,734.0900268554688,133.1739959716797,152.50999450683594,301.8299865722656
2021-09-02,89.80000305175781,732.3900146484375,133.85276794433594,153.64999389648438,301.1499938964844
2021-09-03,90.0,733.5700073242188,133.44168090820312,154.3000030517578,301.1400146484375
2021-09-07,88.72000122070312,752.9199829101562,131.988525390625,156.69000244140625,300.17999267578125
2021-09-08,89.47000122070312,753.8699951171875,132.5717010498047,155.11000061035156,300.2099914550781
2021-09-09,89.54000091552734,754.8599853515625,131.68260192871094,154.07000732421875,297.25
2021-09-10,89.68000030517578,736.27001953125,130.9942626953125,148.97000122070312,295.7099914550781
2021-09-13,88.88999938964844,743.0,132.07456970214844,149.5500030517578,296.989990234375
2021-09-14,86.38999938964844,744.489990234375,130.2294464111328,148.1199951171875,299.7900085449219
2021-09-15,87.7300033569336,755.8300170898438,131.16635131835938,149.02999877929688,304.82000732421875
2021-09-16,87.25,756.989990234375,130.43020629882812,148.7899932861328,305.2200012207031
2021-09-17,86.38999938964844,759.489990234375,129.28298950195312,146.05999755859375,299.8699951171875
2021-09-20,86.16999816894531,730.1699829101562,128.4034423828125,142.94000244140625,294.29998779296875
2021-09-21,86.91999816894531,739.3800048828125,127.12236785888672,143.42999267578125,294.79998779296875
2021-09-22,88.44000244140625,751.9400024414062,128.70936584472656,145.85000610351562,298.5799865722656
2021-09-23,89.41999816894531,753.6400146484375,130.71701049804688,146.8300018310547,299.55999755859375
2021-09-24,89.94000244140625,774.3900146484375,131.44358825683594,146.9199981689453,299.3500061035156
2021-09-27,91.04000091552734,791.3599853515625,132.46653747558594,145.3699951171875,294.1700134277344
2021-09-28,90.48999786376953,777.5599975585938,131.42446899414062,141.91000366210938,283.5199890136719
2021-09-29,91.25,781.3099975585938,133.0592803955078,142.8300018310547,284.0
2021-09-30,87.12999725341797,775.47998046875,132.8202667236328,141.5,281.9200134277344
2021-10-01,89.73999786376953,775.219970703125,137.0172119140625,142.64999389648438,289.1000061035156
2021-10-04,89.26000213623047,781.530029296875,137.7724609375,139.13999938964844,283.1099853515625
2021-10-05,91.48999786376953,780.5900268554688,136.8546905517578,141.11000061035156,288.760009765625
2021-10-06,91.33999633789062,782.75,136.09942626953125,142.0,293.1099853515625
2021-10-07,92.30999755859375,793.6099853515625,135.5736083984375,143.2899932861328,294.8500061035156
2021-10-08,94.38999938964844,785.489990234375,136.92160034179688,142.89999389648438,294.8500061035156
2021-10-11,95.29000091552734,791.9400024414062,136.16635131835938,142.80999755859375,294.2300109863281
2021-10-12,95.56999969482422,805.719970703125,134.29254150390625,141.50999450683594,292.8800048828125
2021-10-13,96.4000015258789,811.0800170898438,134.56979370117188,140.91000366210938,296.30999755859375
2021-10-14,95.27999877929688,818.3200073242188,137.08413696289062,143.75999450683594,302.75
2021-10-15,95.33000183105469,843.030029296875,138.25047302246094,144.83999633789062,304.2099914550781
2021-10-18,96.51000213623047,870.1099853515625,136.06118774414062,146.5500030517578,307.2900085449219
2021-10-19,97.05999755859375,864.27001953125,135.73614501953125,148.75999450683594,308.2300109863281
2021-10-20,96.63999938964844,865.7999877929688,135.65965270996094,149.25999450683594,307.4100036621094
2021-10-21,96.30000305175781,894.0,122.6864242553711,149.47999572753906,310.760009765625
2021-10-22,98.25,909.6799926757812,122.25621032714844,148.69000244140625,309.1600036621094
2021-10-25,97.88999938964844,1024.8599853515625,122.02677154541016,148.63999938964844,308.1300048828125
2021-10-26,96.9800033569336,1018.4299926757812,121.53919982910156,149.32000732421875,310.1099853515625
2021-10-27,96.02999877929688,1037.8599853515625,119.66539001464844,148.85000610351562,323.1700134277344
2021-10-28,96.2300033569336,1077.0400390625,120.30592346191406,152.57000732421875,324.3500061035156
2021-10-29,95.94000244140625,1114.0,119.59847259521484,149.8000030517578,331.6199951171875
2021-11-01,94.37999725341797,1208.5899658203125,120.72657775878906,148.9600067138672,329.3699951171875
2021-11-02,95.87000274658203,1172.0,120.63097381591797,150.02000427246094,333.1300048828125
2021-11-03,96.1500015258789,1213.8599853515625,121.53919982910156,151.49000549316406,334.0
2021-11-04,95.62999725341797,1229.9100341796875,120.8499984741211,150.9600067138672,336.44000244140625
2021-11-05,94.94999694824219,1222.0899658203125,123.61000061035156,151.27999877929688,336.05999755859375
2021-11-08,95.13999938964844,1162.93994140625,124.54000091552734,150.44000244140625,336.989990234375
2021-11-09,94.58999633789062,1023.5,120.8499984741211,150.80999755859375,335.95001220703125
2021-11-10,93.83000183105469,1067.949951171875,120.22000122070312,147.9199981689453,330.79998779296875
2021-11-11,94.04000091552734,1063.510009765625,120.2699966430664,147.8699951171875,332.42999267578125
2021-11-12,93.54000091552734,1033.4200439453125,118.95999908447266,149.99000549316406,336.7200012207031
2021-11-15,94.0199966430664,1013.3900146484375,118.87000274658203,150.0,336.07000732421875
2021-11-16,95.61000061035156,1054.72998046875,118.45999908447266,151.0,339.510009765625
2021-11-17,95.33000183105469,1089.010009765625,118.05999755859375,153.49000549316406,339.1199951171875
2021-11-18,94.66000366210938,1096.3800048828125,116.66000366210938,157.8699951171875,341.2699890136719
2021-11-19,93.97000122070312,1137.06005859375,116.05000305175781,160.5500030517578,343.1099853515625
2021-11-22,94.61000061035156,1156.8699951171875,116.47000122070312,161.02000427246094,339.8299865722656
2021-11-23,92.94000244140625,1109.030029296875,116.79000091552734,161.41000366210938,337.67999267578125
2021-11-24,93.58000183105469,1116.0,116.7300033569336,161.94000244140625,337.9100036621094
2021-11-26,92.33000183105469,1081.9200439453125,115.80999755859375,156.80999755859375,329.67999267578125
2021-11-29,92.94000244140625,1136.989990234375,118.5,160.24000549316406,336.6300048828125
2021-11-30,90.73999786376953,1144.760009765625,117.0999984741211,165.3000030517578,330.5899963378906
2021-12-01,89.75,1095.0,116.91999816894531,164.77000427246094,330.0799865722656
2021-12-02,89.98999786376953,1084.5999755859375,116.9000015258789,163.75999450683594,329.489990234375
2021-12-03,88.23999786376953,1014.969970703125,118.83999633789062,161.83999633789062,323.010009765625
2021-12-06,88.94000244140625,1009.010009765625,119.91000366210938,165.32000732421875,326.19000244140625
2021-12-07,90.05000305175781,1051.75,121.58000183105469,171.17999267578125,334.9200134277344
2021-12-08,88.94000244140625,1068.9599609375,123.0199966430664,175.0800018310547,334.9700012207031
2021-12-09,88.7699966430664,1003.7999877929688,123.56999969482422,174.55999755859375,333.1000061035156
2021-12-10,102.62999725341797,1017.030029296875,124.08999633789062,179.4499969482422,342.5400085449219
2021-12-13,100.88999938964844,966.4099731445312,122.58000183105469,175.74000549316406,339.3999938964844
2021-12-14,99.88999938964844,958.510009765625,123.76000213623047,174.3300018310547,328.3399963378906
2021-12-15,103.6500015258789,975.989990234375,123.11000061035156,179.3000030517578,334.6499938964844
2021-12-16,103.22000122070312,926.9199829101562,125.93000030517578,172.25999450683594,324.8999938964844
2021-12-17,96.62000274658203,932.5700073242188,127.4000015258789,171.13999938964844,323.79998779296875
2021-12-20,91.63999938964844,899.9400024414062,127.05999755859375,169.75,319.9100036621094
2021-12-21,91.51000213623047,938.530029296875,128.97000122070312,172.99000549316406,327.2900085449219
2021-12-22,89.86000061035156,1008.8699951171875,129.75,175.63999938964844,333.20001220703125
2021-12-23,89.72000122070312,1067.0,130.6300048828125,176.27999877929688,334.69000244140625
2021-12-27,89.54000091552734,1093.93994140625,131.6199951171875,180.3300018310547,342.45001220703125
2021-12-28,88.6500015258789,1088.469970703125,132.6300048828125,179.2899932861328,341.25
2021-12-29,88.20999908447266,1086.18994140625,133.35000610351562,179.3800048828125,341.95001220703125
2021-12-30,88.01000213623047,1070.3399658203125,133.91000366210938,178.1999969482422,339.32000732421875
2021-12-31,87.20999908447266,1056.780029296875,133.66000366210938,177.57000732421875,336.32000732421875
